Name,Target Muscle,Type,MET Value,Description,Difficulty,Caution,Youtube Links,Time Segment
Alternating Heel-Touch,Abdominals,Core,3.5,1. Lie on your back with knees bent and feet flat on the floor.  2. Keep your arms at your sides.  3. Crunch your torso slightly up and reach your right hand toward your right heel.  4. Return to center and repeat on the left side.  5. Alternate touches for total reps.,Beginner,None,https://youtu.be/RW25fbkQxVQ?si=kUqL4uEgNb5umerw,
Half Bird Dog,Abdominals,Core,3.5,"1. Begin on all fours in a tabletop position.  2. Extend one leg straight behind you while keeping your hips level.  3. Hold for 2–3 seconds, then return to start.  4. Switch sides and repeat.",Beginner,None,https://youtu.be/JDNQwZ6X2TU?si=b-3pcaQdIxEjhuLs,
Standing Calf Raise,Calves,Strength,3.5,"1. Stand tall with feet hip-width apart.  2. Slowly raise your heels off the ground, balancing on the balls of your feet.  3. Hold at the top for a second.  4. Lower your heels back down with control.",Beginner,None,https://youtu.be/cqDMYUaIXvw?si=SlLPzLnRyTaYb8TP,
Alternating Step-Back,Hamstrings,Cardio,3.5,1. Stand upright with feet hip-width apart.  2. Step one foot back into a lunge position.  3. Push through the front heel to return to standing.  4. Repeat with the opposite leg.  5. Alternate sides.,Beginner,None,https://youtube.com/shorts/Jn4VwFBjup8?si=cPkBNRvz8b9xyEbw,
Side-lying leg lift,Glutes,Strength,3.5,1. Lie on your side with legs extended and stacked.  2. Rest your head on your lower arm.  3. Lift your top leg up slowly to about 45 degrees.  4. Lower it back down with control.  5. Repeat for 12–15 reps per side.,Beginner,None,https://youtube.com/shorts/INdCOr0c_LI?si=N04ApXh4GSvAQsU2,
Isometric Chest Squeezes,Chest,Strength,3.5,"1. Stand or sit upright with arms in front of your chest.  2. Press your palms together firmly.  3. Hold the squeeze, engaging your chest muscles.  4. Maintain position.  5. Release and repeat.",Intermediate,Isometric Hold,https://youtu.be/LKP1YiVV0y8?si=st2LmQqKkv6fbuGA,
Cross-Body Toe-Touch,Abdominals,Core,3.5,1. Stand tall with feet shoulder-width apart.  2. Raise your right arm and lift your left leg.  3. Reach your right hand across to touch your left toes.  4. Return to start and repeat on the other side.  5. Continue alternating sides.,Beginner,None,https://youtu.be/xngX2Q2Z-NY?si=A_u5DMYJ4CyklEx1,
Left Knee-Up,Hamstrings,Cardio,3.5,1. Stand upright with feet shoulder-width apart.  2. Shift weight to your right leg.  3. Lift your left knee up toward your chest.  4. Hold for 1–2 seconds and engage your core.  5. Lower and repeat.,Beginner,None,Link not available,
Right Side Bird-Dog,Abdominals,Core,3.5,"1. Start on all fours in a tabletop position.  2. Extend your right leg back and left arm forward.  3. Keep hips level and core engaged.  4. Hold for a few seconds, then return to start.",Beginner,None,https://youtube.com/shorts/L91QMACdA6Q?si=L2IDUJ0z-DH6mrd-,
Dead Bug,Abdominals,Core,3.5,1. Lie on your back with arms extended to the ceiling and knees bent at 90 degrees perpendicular to ground.  2. Lower your right arm and left leg simultaneously toward the floor.  3. Keep your lower back pressed into the mat.  4. Return to the start and switch sides.,Beginner,None,https://youtube.com/shorts/HrxOWhPdsOY?si=IjHHpSU5ZFQgQiXm,
Slow Sit-Up,Abdominals,Core,3.5,"1. Lie on your back with knees bent and feet flat.  2. Cross arms over chest or place behind head or hands straight ahead.  3. Slowly roll your upper body up toward your knees.  4. Pause at the top, then lower down with control.",Beginner,None,https://youtu.be/We534QQje8Y?si=jWZMxitI7mmWN0Zm,
Half-Up,Abdominals,Core,3.5,"1. Lie on your back with knees bent.  2. Cross arms over your chest.  3. Lift your upper back off the floor halfway, engaging your core.  4. Hold briefly, then lower down.",Beginner,None,Link not available,
Rear Leg Raises,Quadriceps,Strength,3.5,1. Stand tall and hold onto a support for balance.  2. Extend one leg straight back without bending the knee.  3. Squeeze your glutes at the top.  4. Lower the leg slowly.,Beginner,None,Link not available,
Right Knee-Up,Hamstrings,Cardio,3.5,1. Stand upright with feet shoulder-width apart.  2. Shift weight to your left leg.  3. Lift your right knee up toward your chest.  4. Hold for 1–2 seconds and engage your core.,Beginner,None,Link not available,
Left Side Bird-Dog,Abdominals,Core,3.5,"1. Start on all fours.  2. Extend your left leg back and right arm forward.  3. Keep your core tight and hips level.  4. Hold briefly, then return to start.",Beginner,None,https://youtube.com/shorts/L91QMACdA6Q?si=32-xVy6P5Ieg3Dau,
Single-Leg Curl Up,Abdominals,Core,3.5,1. Lie on your back with one knee bent and the other leg extended.  2. Cross arms over your chest.  3. Slowly curl your upper body toward the bent knee.  4. Lower down with control.  5. Switch sides after a few reps.,Intermediate,None,Link not available,
Hollow Hold,Abdominals,Core,3.5,1. Lie on your back with arms extended overhead and legs straight.  2. Lift your shoulders and legs off the ground.  3. Keep lower back pressed to the floor.  4. Hold.  5. Release and repeat.,Intermediate,Isometric Hold,https://youtube.com/shorts/_2JlRt8bHg4?si=JY2M6qzGLHjWmL_1,
Side Plank,Abdominals,Core,3.5,1. Lie on your side with forearm under your shoulder.  2. Stack your feet and lift your hips off the ground.  3. Keep your body in a straight line.  4. Hold.  5. Switch sides and repeat.,Intermediate,Isometric Hold,https://youtube.com/shorts/fzLeV8X0Gb8?si=vU9JFYQ0ZDD5tC1v,
Glute bridge,Glutes,Core,3.5,1. Lie on your back with knees bent and feet flat.  2. Keep arms by your sides.  3. Lift your hips until your body forms a straight line from shoulders to knees.  4. Squeeze glutes at the top.  5. Lower down and repeat.,Beginner,None,https://youtube.com/shorts/WEvLyLsV0xs?si=_gXiDSE8PVHCqs2u,
Frankenstein,Quadriceps,Strength,3.5,1. Stand tall with arms extended in front.  2. Swing your right leg straight up to touch your left hand.  3. Lower leg and repeat on the other side.  4. Keep core tight and avoid leaning back.  5. Alternate for both sides.,Beginner,None,Link not available,
Squat Hold,Quadriceps,Strength,3.5,"1. Stand with feet shoulder-width apart.  2. Lower into a squat position, keeping knees over toes.  3. Hold the position with your thighs parallel to the floor.  4. Keep back straight and chest lifted.  5. Hold.",Intermediate,Isometric Hold,https://youtu.be/_izLJ0giePc?si=pgr90k85SGoS9peO,
Sit/Chair Squats,Quadriceps,Strength,3.5,1. Stand in front of a chair with feet shoulder-width apart.  2. Slowly lower yourself until you’re just above the chair.  3. Pause briefly without sitting.  4. Push through your heels to stand back up. 5. Repeat.,Beginner,None,https://youtube.com/shorts/tOoQnGppgg0?si=XykebXydd4kVkejk,
Single-leg balance and reach,Hamstrings,Strength,3.5,1. Stand on one leg with slight bend in the knee.  2. Reach your opposite hand toward the ground in front of you.  3. Keep back flat and core engaged.  4. Return to standing position.,Intermediate,None,https://youtube.com/shorts/bOdz7FZy4xA?si=MKjSLfdRMihyNxre,
Low Lunge with External Twist and Arm Reach,Abdominals,Stretching,3.5,1. Step one leg back into a low lunge.  2. Place the opposite hand on the ground.  3. Twist your torso toward the front leg and reach the other arm overhead.  4. Hold.,Beginner,None,Link not available,
Quadruped Thoracic Rotation,Abdominals,Stretching,3.5,"1. Start on all fours in a tabletop position.  2. Place one hand behind your head.  3. Rotate your upper body, bringing the elbow under your body.  4. Then rotate upward toward the ceiling.  5. Repeat per side.",Beginner,None,https://youtube.com/shorts/O8KTAYWgjWQ?si=p_e06FmsmuHL8ir6,
Standing hip extension,Glutes,Stretching,3.5,"1. Stand upright holding a sturdy surface for balance.  2. Shift weight to one leg and extend the opposite leg straight back.  3. Keep the movement slow and controlled, avoiding arching the back.  4. Squeeze glutes at the top.  5. Return and repeat per side.",Beginner,None,https://youtube.com/shorts/ysG2GAdq2Uw?si=zeDeTTMgC__JGEY6,
Walking Glute Stretch,Glutes,Stretching,3.5,1. Stand upright and step forward with one leg.  2. Pull the opposite knee toward your chest with both hands.  3. Pause briefly to stretch the glute.  4. Release and step forward with the other leg.  5. Continue alternating.,Beginner,None,https://youtu.be/o-inufMDSaI?si=_uvmLURNP_eKAEPE,
Alternating standing glute stretch,Glutes,Stretching,3.5,1. Stand tall and cross your right ankle over your left thigh.  2. Sit back into a squat position while holding the stretch.  3. Balance and hold for a few seconds.  4. Return to standing and switch sides.,Beginner,None,https://youtu.be/xyAMIGhNpyM?si=PXTyXRlzDelpMxbJ,
Goal Post to Squat,Quadriceps,Stretching,3.5,1. Stand with feet shoulder-width apart and arms in goal post position (elbows bent at 90°).  2. Lower into a squat while maintaining arm position.  3. Stand up and press arms upward.  4. Return to starting position.  5. Repeat.,Beginner,None,Link not available,
Elbow plank,Abdominals,Core,3.8,1. Start on your forearms and toes with body in a straight line.  2. Keep elbows directly under shoulders.  3. Engage core and glutes.  4. Avoid dropping hips or raising your back.  5. Hold.,Beginner,Isometric Hold,https://youtube.com/shorts/IUu9rYWzVns?si=GBSFImZThdqtatjJ,
Lower Back Curl,Abdominals,Stretching,3.8,"1. Lie on your back with knees bent and feet flat.  2. Tilt your pelvis and slowly curl your lower back off the floor.  3. Pause briefly, engaging your abs.  4. Lower back down slowly.  5. Repeat.",Beginner,None,Link not available,
Elbow-to-knee crunch,Abdominals,Core,3.8,1. Lie on your back with hands behind your head and knees bent.  2. Bring one elbow toward the opposite knee while lifting your shoulders.  3. Return to start and switch sides.  4. Alternate for total reps.,Beginner,None,https://youtube.com/shorts/zQXLR87w0nU?si=WSbNxkMP7oNgG_Qw,
Side Bridge,Abdominals,Core,3.8,1. Lie on your side with elbow under shoulder.  2. Stack feet and lift hips off the ground.  3. Keep your body aligned.  4. Hold.,Intermediate,Isometric Hold,https://youtu.be/7ytbYd4CK3o?si=oOr2Pkt5n2-A6dXu,
Straight-Arm Plank,Abdominals,Core,3.8,1. Start in a push-up position with arms fully extended.  2. Keep your body in a straight line from head to heels.  3. Engage your core and avoid sagging hips.  4. Hold.,Beginner,Isometric Hold,https://youtube.com/shorts/RNkedDWQArk?si=RWEEm4IVYdrQJbiR,
Bird-Dog Plank,Abdominals,Core,3.8,1. Begin in a high plank position.  2. Lift one arm and opposite leg simultaneously.  3. Hold briefly while keeping your core stable.  4. Return to plank and switch sides.,Intermediate,Isometric Hold,https://youtube.com/shorts/VDiTR2x4spM?si=syVquDjgKYHCuxwX,
Side-Plank Arm Wrap,Abdominals,Core,3.8,"1. Begin in a side plank position on your elbow.  2. Reach top arm under your body, rotating your torso.  3. Return to start and repeat. ",Intermediate,Isometric Hold,https://youtube.com/shorts/oHdNLKT6CWk?si=vz7CN5TuhFMAuuKP,
Side Plank Pulse,Abdominals,Core,3.8,1. Get into a side plank position.  2. Slowly lower your hips slightly.  3. Pulse your hips upward in small controlled movements.,Intermediate,Isometric Hold,https://youtube.com/shorts/PEnNA7TgU-U?si=iHU6pvh0De0RvaqB,
Fire Hydrant,Abdominals,Core,3.8,1. Start on all fours with hands under shoulders and knees under hips.  2. Lift one leg out to the side while keeping the knee bent.  3. Pause at the top and lower.,Beginner,None,https://youtu.be/ZVfcRHhcBgg?si=kauWRNfmGU2lYgU6,
Pushups,Chest,Strength,3.8,1. Start in a high plank position with hands shoulder-width apart.  2. Lower your body toward the floor by bending your elbows.  3. Keep your body in a straight line.  4. Push back up to start.,Beginner,None,https://youtu.be/WDIpL0pjun0?si=0qlw1fYJ6bkqhPtD,
T-Spine Rotation with Reach,Abdominals,Stretching,3.8,"1. Start on all fours.  2. Place one hand behind your head.  3. Rotate your elbow toward the ceiling, opening your chest .  4. Return to starting position.",Beginner,None,https://youtube.com/shorts/zqB0nQO-iaM?si=L3Tq-fmZjFWl3N5k,
Glute Kickback,Glutes,Strength,3.8,"1. Start on all fours.  2. Extend one leg straight back, keeping the knee bent.  3. Squeeze glutes at the top.  4. Lower with control.",Beginner,None,https://youtube.com/shorts/7sE-6KoB2iw?si=jrzmBdiU8rinyoBi,
Alternating Slow Step-Down With Chair,Glutes,Strength,3.8,1. Stand on a sturdy chair or step.  2. Slowly lower one leg toward the floor.  3. Tap the floor lightly with your heel.  4. Return to start and switch legs.,Beginner,None,https://youtube.com/shorts/uZFt0EZo78U?si=JCizZlUT_GC2VcWr,
Hamstring Slide,Hamstrings,Strength,3.8,1. Lie on your back with feet on sliders or towels.  2. Lift hips into a glute bridge.  3. Slowly extend legs out while keeping hips off the ground.  4. Slide feet back in and repeat.,Intermediate,None,https://youtu.be/D8rOfbVvjZg?si=I5AFRxTKT3pNse2L,
 Back extension,Lower Back,Core,4,1. Lie face down on a mat with arms at your sides or crossed over your chest.  2. Engage your lower back and lift your chest off the ground.  3. Keep your head in a neutral position.  4. Hold briefly at the top.  5. Lower down slowly and repeat.,Beginner,None,hhttps://youtube.com/shorts/xFXX23prlHg?si=UlhWOWHemHM00-jo,
Superman,Lower Back,Core,4,"1. Lie face down with arms extended in front of you.  2. Simultaneously lift arms, chest, and legs off the ground.  3. Squeeze glutes and lower back at the top.  4. Hold for 1–2 seconds.  5. Lower back down and repeat.",Beginner,None,https://youtu.be/cZxtPxeR2H8?si=kzIFF9eHEFejLkfb,From 44 sec - 1:55 ec
Knee Up-Down,Abdominals,Cardio,4,1. Start in a high plank position.  2. Lower one arm at a time to your forearms into a low plank.  3. Push back up one arm at a time to high plank.  4. Keep core engaged and body straight.,Beginner,HIIT,Link not available,
Walking Butt Kicks,Glutes,Cardio,4,"1. Stand upright and begin walking forward.  2. With each step, kick your heel toward your glutes.  3. Swing arms naturally as you walk.",Beginner,"Plyometric, HIIT",https://youtube.com/shorts/4NEl7HetiSo?si=4PeIAzokD5JdSo3L,
Walking High Knees,Glutes,Cardio,4,1. Stand tall with arms at your sides.  2. Lift one knee toward your chest as you walk forward.  3. Swing the opposite arm forward.  4. Alternate knees with each step.,Beginner,"Plyometric, HIIT",https://youtu.be/v0C88boWRIg?si=I_13B7M7QEhdKVvB,
Wall Sit,Quadriceps,Cardio,4,1. Stand against a wall and slide down into a seated position.  2. Keep thighs parallel to the floor and knees over ankles.  3. Hold the position with back flat against the wall.  4. Keep core tight.,Intermediate,Isometric Hold,https://youtube.com/shorts/lwi8mLQ3v3o?si=h2OnEPr1DhaNiQD5,
Lateral Squats,Quadriceps,Cardio,4,"1. Stand with feet wider than shoulder-width.  2. Shift your weight to one side, bending the knee while keeping the other leg straight.  3. Push back to center.  4. Repeat on the other side.",Intermediate,None,https://youtube.com/shorts/iZfVyoghvjM?si=_NtcPvnPPhY6cba-,
Reverse crunch,Abdominals,Core,4,1. Lie on your back with hands under hips.  2. Bend knees at 90 degrees.  3. Lift hips off the floor by curling knees toward chest.  4. Lower back down with control.,Beginner,None,https://youtube.com/shorts/qL-5lbdOdTM?si=d7cZKyU_rX7BxmEW,
Front Step,Abdominals,Strength,4,1. Stand tall facing a step or bench.  2. Step one foot onto the platform.  3. Press through the heel to lift your body up.  4. Step back down and switch legs.,Beginner,None,https://youtube.com/shorts/d6BGE36uJ6k?si=JSwb-PwQWhJNAPOc,
Russian twist,Abdominals,Core,4,"1. Sit on the floor with knees bent and feet off the ground.  2. Lean back slightly and clasp hands together.  3. Twist your torso to one side, then the other.  4. Keep your core tight.",Beginner,None,https://youtube.com/shorts/-cPtvFdT8dc?si=kErmZn0g9P7bnA4q,
Lying Oblique Crunch,Abdominals,Core,4,1. Lie on your side with knees slightly bent.  2. Place the top hand behind your head.  3. Crunch sideways toward your hip.  4. Squeeze your obliques at the top.  5. Lower down and repeat.,Beginner,None,https://youtube.com/shorts/0xmhsMxWkGA?si=u44-pgQNlTJiVVa4,
Push-Up Plank Hold,Abdominals,Core,4,1. Begin in a high push-up position.  2. Keep hands under shoulders and body in a straight line.  3. Engage your core and glutes.,Intermediate,Isometric Hold,https://youtu.be/VVoAsUrSTOw?si=tK4cHI60Jnbv7zJI,
Alternating Lying Leg Raise,Abdominals,Core,4,1. Lie on your back with hands under hips.  2. Lift one leg off the floor to 45 degrees while the other stays down.  3. Lower and switch legs.,Beginner,None,Link not available,
Side-Plank with Hip Touch,Abdominals,Core,4,1. Get into a side plank position.  2. Lower your hip toward the ground and lightly tap.  3. Raise back to plank.  4. Repeat.,Intermediate,Isometric Hold,https://youtube.com/shorts/0WVVXf2wuh0?si=A8pq6arxjSid7wOa,
Slow Mountain Climber,Abdominals,Core,4,1. Start in a high plank position.  2. Bring one knee toward your chest slowly.  3. Return to plank and alternate legs.  4. Continue with controlled movement.,Beginner,None,https://youtu.be/24gpL7t4iPY?si=bfZV5pTDFQ4KvYAi,
Hollow-Body Pulse,Abdominals,Core,4,1. Lie on your back with legs extended and arms overhead.  2. Lift your shoulders and legs off the ground.  3. Pulse arms and legs up and down slightly.  4. Keep core tight.,Intermediate,Isometric Hold,https://youtu.be/MrYxEp4TP-k?si=3OmigVt26kRagZYK,
Crab Walk,Abdominals,Strength,4,1. Sit on the floor with hands and feet flat.  2. Lift hips off the ground into a reverse tabletop position.  3. Walk forward using opposite hand and foot.  4. Then walk backward.,Beginner,None,https://youtube.com/shorts/ZodvhSMy6rk?si=_TkGQFQLVFmoPXos,
Right Side Hollow Hold with Pulse,Abdominals,Core,4,1. Lie on your right side with legs extended and stacked.  2. Raise both legs off the ground and lift shoulders slightly.  3. Keep core tight and body in a slight curve.  4. Pulse legs up and down a few inches.,Intermediate,Isometric Hold,https://youtu.be/Lcz6vz8ThTA?si=Ntz-eagLbOSYELBI,
Left Side Hollow Hold with Pulse,Abdominals,Core,4,1. Lie on your left side with legs extended and stacked.  2. Raise both legs off the floor and lift shoulders slightly.  3. Hold a slight hollow shape with core engaged.  4. Pulse legs gently.,Intermediate,Isometric Hold,https://youtu.be/6A2JUw2o7w8?si=7PFVzfnd66vutUWF,
Leg Lift,Abdominals,Core,4,1. Lie on your back with arms at your sides.  2. Keep legs straight and raise them toward the ceiling.  3. Pause at the top.  4. Slowly lower back down without touching the floor.,Beginner,None,https://youtu.be/lktF6euie0o?si=uuVjaf_beIST_Cw9,
Flat Bench Leg Raise,Abdominals,Core,4,1. Lie flat on a bench with legs extended off the end.  2. Hold the bench behind your head for support.  3. Lift legs until vertical.  4. Lower slowly to starting position.,Intermediate,None,https://youtu.be/BOlr-OlMxQE?si=d6JJsd_tsTOmAx20,
Hollow-Body Hold,Abdominals,Core,4,1. Lie on your back with arms overhead and legs extended.  2. Lift shoulders and legs off the floor into a banana shape.  3. Engage core and keep lower back pressed to floor. 4. Hold.,Intermediate,Isometric Hold,https://youtube.com/shorts/Y1V20TU1D0A?si=1WsgLMthylpTCVUM,
Windmills,Abdominals,Mobility,4,1. Stand with feet wide apart and arms extended to sides.  2. Twist your torso and reach right hand toward left foot.  3. Return to center and switch sides.  4. Repeat per side.,Beginner,None,https://youtube.com/shorts/697kepOJCv0?si=b26ABQr08Qw5DqBL,
Towel Straight Plank Hand Reach,Abdominals,Core,4,"1. Get into a straight-arm plank position.  2. Place a towel or slider under one hand.  3. Slide that hand forward, then pull it back.  4. Keep core tight and hips stable.  5. Alternate sides.",Intermediate,None,https://youtu.be/6WcH6l2SVfI?si=dNDig_7CmW3U--i1,
Elbow Plank Swim,Abdominals,Core,4,1. Start in an elbow plank position.  2. Reach one arm forward in a swimming motion.  3. Return it to the ground and switch arms.  4. Keep your core braced and back flat.,Intermediate,Isometric Hold,Link not available,
Seated Knee Pull-In Series,Abdominals,Core,4,1. Sit on the floor with legs extended and hands behind for support.  2. Pull both knees toward your chest.  3. Extend them back out without touching the floor.,Beginner,None,https://youtube.com/shorts/C5aao0ajgMQ?si=964KhJziw65Ac-dV,
Tuck Ups,Abdominals,Core,4,1. Sit on the edge of a bench or mat.  2. Bring knees to chest while leaning torso forward.  3. Extend legs and torso outward without touching the ground.,Beginner,None,https://youtube.com/shorts/usY01OJEyc4?si=dgF923hw6x2T99Ta,
Squat Pulse,Quadriceps,Strength,4,1. Stand with feet shoulder-width apart.  2. Lower into a squat position.  3. Stay at the bottom and pulse up and down a few inches.  4. Keep weight in heels and back straight.,Intermediate,None,https://youtube.com/shorts/f8PPWkHSqOk?si=o_Q7z2CqdyoxQc0Z,
Kick-Out,Abductors,Strength,4,"1. Sit on the floor with knees bent and hands behind you.  2. Lift feet slightly off the ground.  3. Extend both legs out, then pull back in.  4. Keep abs tight and controlled.",Intermediate,None,Link not available,
Alternating Step-Up With Chair,Hamstrings,Strength,4,"1. Stand in front of a sturdy chair or step.  2. Step up with one foot, then bring the other foot up.  3. Step back down and repeat with the opposite leg.",Beginner,None,https://youtu.be/H0SrIQaYGuo?si=6EGAZuONB8VR-pEs,
Single-leg glute bridge,Glutes,Core,4,1. Lie on your back with one leg bent and the other extended.  2. Push through the bent leg to lift your hips.  3. Squeeze glutes at the top.  4. Lower down and repeat.  5. Switch legs after a few reps.,Intermediate,None,https://youtu.be/AVAXhy6pl7o?si=DUsSVVrAZbYEssxS,
Hip Thrust,Glutes,Core,4,"1. Sit on the ground with your back against a bench/couch.  2. Place feet flat on the ground, shoulder-width apart.  3. Drive hips upward, squeezing glutes.  4. Lower hips back down and repeat.",Intermediate,None,https://youtu.be/uDicPfk8k2o?si=wBngMecl1OzYKu3R,
Decline Push-Up,Chest,Strength,4.5,"1. Place feet on a bench or elevated surface.  2. Hands should be on the ground, slightly wider than shoulder-width.  3. Lower your chest to the ground.  4. Push back up to starting position.",Advanced,None,https://youtube.com/shorts/jEbxQNzF3ss?si=rj3alY1Gb7Q4jAzz,
Bottoms Up,Abdominals,Core,4.5,1. Lie flat on your back with legs pointed straight up.  2. Use your lower abs to lift your hips toward the ceiling.  3. Keep movement small and controlled.  4. Lower with control.,Intermediate,None,https://youtu.be/RwZjU8CrUo8?si=blf5XyjlHObTRUp7,
Full Moon,Biceps,Core,4.5,"1. Stand with feet hip-width apart and arms extended forward.  2. Move arms in a large circular motion, mimicking a ""full moon.""  3. Engage core as you go around.  4. Reverse direction after a few reps.",Beginner,None,Link not available,
Bear Crawl Hold,Full body,Core,4.5,1. Start on hands and knees with knees hovering off the floor.  2. Keep back flat and core engaged.  3. Hold position without letting knees touch.,Intermediate,Isometric Hold,https://youtube.com/shorts/19XnDZJjrBc?si=BKfClVaGkPfQ3jnu,
Hollow-Body Rock,Abdominals,Core,4.5,1. Lie on your back in a hollow-body position with arms extended overhead and legs slightly off the ground.  2. Engage your core and rock back and forth like a boat.  3. Keep your lower back pressed to the floor.,Advanced,None,https://youtube.com/shorts/17QYGBGsDvw?si=ZF1xPRIXFX23Njtj,
Hollow-Body Abduction,Abdominals,Core,4.5,"1. Begin in a hollow-body hold position.  2. With legs lifted, move them apart to a wide V.  3. Bring legs back together slowly.  4. Keep arms extended and core tight. ",Advanced,None,https://youtu.be/BDgtnwP5d2Y?si=DeQepnq213LRVVdR,
Prison Push-Up,Abdominals,Strength,4.5,"1. Get into a standard push-up position.  2. Lower your chest toward the floor.  3. Push back up and raise one knee to your chest.  4. Repeat, alternating legs.",Advanced,None,Link not available,
Toy Soldier,Abdominals,Stretching,4.5,1. Stand tall with arms extended in front.  2. Kick your right leg up toward your left hand.  3. Lower and switch sides.  4. Keep core tight and back straight.,Beginner,None,https://youtube.com/shorts/8-jMr4LnFBQ?si=Y0NZUFIc8gXIQfA5,
Windshield Wipers,Chest,Core,4.5,"1. Lie flat on your back with legs extended upward.  2. Hold your arms out wide on the floor for balance.  3. Lower legs to one side slowly while keeping shoulders down.  4. Return to center and hold.  5. Alternate sides, holding each position briefly.",Intermediate,Isometric Hold,https://youtube.com/shorts/4ittyIDn5iU?si=nRLXNFvAu2R_EaQ_,
Cocoons,Abdominals,Core,4.5,1. Lie on your back with arms and legs extended.  2. Bring knees to chest and wrap arms around them.  3. Return to the starting position.  4. Keep movement controlled and core tight.,Intermediate,None,https://youtu.be/U4fIgu9ZIfA?si=0Wp69RxVU16wUovR,
Butt-Ups,Abdominals,Core,4.5,1. Start in a forearm plank position.  2. Raise your hips toward the ceiling to form an inverted V.  3. Lower hips back into plank.  4. Engage core throughout.,Intermediate,None,https://youtu.be/8myvQaaDlUU?si=IHThCXBl9Fc8nOBu,
Leg Pull-In,Abdominals,Core,4.5,"1. Sit on a bench or mat with hands behind for support.  2. Extend legs out and lean back slightly.  3. Pull knees to your chest, then extend again.  4. Keep abs tight.",Beginner,None,https://youtube.com/shorts/7jfamz3JPhA?si=yzJnaeoOL2G8q4Hm,
Side Jackknife,Abdominals,Core,4.5,1. Lie on your side with legs stacked and one hand behind your head.  2. Simultaneously raise upper leg and torso to meet.  3. Lower and repeat.  4. Complete all reps on one side before switching.,Intermediate,None,https://youtu.be/eLUSfdbxvF8?si=r-449ev5B5HQ5LWB,
Knee-to-Nose Pulse,Abdominals,Core,4.5,"1. Start in a downward dog or plank position.  2. Bring one knee toward your nose.  3. Pulse gently forward without touching the floor.  4. Repeat, then switch sides.",Intermediate,None,https://youtu.be/oBHBKjdDwn4?si=CkmEtEgNOdnoE9LM,
Hollow-Body Knee Tuck,Abdominals,Core,4.5,1. Begin in a hollow-body hold.  2. Tuck both knees toward your chest.  3. Extend legs back to the hollow position.  4. Keep your shoulders and feet off the floor.,Intermediate,None,https://youtube.com/shorts/gLSHK-9oyYQ?si=EbuEBXw2hi-z0K_0,
Side-Plank with Kick,Abdominals,Core,4.5,1. Get into a side plank position.  2. Extend top leg and lift it as high as possible.  3. Lower the leg back down with control.  4. Keep hips elevated throughout.,Intermediate,Isometric Hold,https://youtube.com/shorts/BOKsF7or_KU?si=VmIm4H3E3bLtHzHd,
Prison Sit-Up,Abdominals,Core,4.5,1. Sit with knees bent and hands behind your head.  2. Perform a controlled sit-up without using momentum.  3. Keep elbows wide and core engaged.  4. Lower back down slowly.,Intermediate,None,https://youtu.be/l2sCTjdrlZI?si=_dD73MLtVZ2JK_hT,
Plank Alternating Hip-Dip,Abdominals,Core,4.5,1. Start in a forearm plank position.  2. Rotate hips and dip one side toward the floor.  3. Return to center and switch sides.  4. Keep core tight and movement controlled.,Intermediate,None,https://youtube.com/shorts/_GWY9MCswIs?si=trsBdbqEP8_bJE1g,
Feet-Elevated Side Plank,Abdominals,Core,4.5,"1. Lie on your side with your feet elevated on a bench.  2. Place forearm on the floor and lift your hips into a side plank.  3. Keep your body in a straight line.  4. Hold, then switch sides.",Advanced,Isometric Hold,https://youtube.com/shorts/LdUsfK6xe1s?si=QKNlW9YOHZNbz5vk,
Alternating Single-Leg Pike,Abdominals,Core,4.5,1. Start in a downward dog position.  2. Lift your right leg high toward the ceiling.  3. Lower the leg and repeat on the left side.  4. Keep your core tight and movement smooth.,Intermediate,None,Link not available,
Straight Plank Hand Tap to Shoulder Tap,Abdominals,Core,4.5,1. Begin in a straight-arm plank position.  2. Tap your right hand to the floor in front of you.  3. Return and tap your right hand to your left shoulder.  4. Alternate hands.  5. Keep hips steady throughout.,Intermediate,None,Link not available,
Alternating Diagonal Knee Pull-In,Abdominals,Core,4.5,1. Begin in a high plank position.  2. Drive your right knee toward your left elbow.  3. Return to plank and switch legs.  4. Maintain a tight core and straight back.,Beginner,None,Link not available,
Elbow Plank with Step-Out,Abdominals,Core,4.5,1. Begin in a forearm plank position.  2. Step your right foot out to the side.  3. Return it to center and repeat with the left foot.  4. Keep your torso still and hips level.,Intermediate,Isometric Hold,https://youtube.com/shorts/KBVbBEgw9R0?si=YDGdzQYlFZM9-PE5,
Hands-Elevated Straight Plank Pike,Abdominals,Core,4.5,1. Start in a straight-arm plank with hands on a bench or step.  2. Push your hips up toward the ceiling into a pike position.  3. Lower back into plank.  4. Keep your core engaged.,Intermediate,Isometric Hold,Link not available,
Diagonal Right Leg Step-Out to Right Knee-Up,Glutes,Cardio,4.5,1. Stand tall and step your right leg diagonally behind you.  2. Push off the back foot and bring your right knee up toward your chest.  3. Return to starting position.  4. Repeat for reps before switching sides.,Intermediate,None,Link not available,
Squat with Alternating Side Leg Raise,Quadriceps,Cardio,4.5,"1. Stand with feet hip-width apart.  2. Perform a bodyweight squat.  3. As you rise, lift your right leg to the side.  4. Alternate legs with each squat.",Intermediate,None,https://youtu.be/ITwxQ4On_0U?si=YDLQxtUhogK1wqEr,
